,Y_real
5148,0
6233,0
8936,0
8353,0
2255,1
4503,0
4088,0
3772,1
987,0
2593,1
7779,0
2564,1
6886,0
399,0
4250,0
3423,0
8759,1
8793,1
6242,0
3391,0
5928,1
3450,1
7961,0
2665,1
5228,1
6753,1
3758,1
6383,0
2000,1
2062,1
8790,1
602,1
3032,0
2073,0
1240,1
3808,0
2283,1
410,0
5042,1
1824,0
3206,0
5736,1
5139,1
7748,0
6818,0
5211,1
2977,1
8742,0
745,1
1910,0
5071,0
3451,0
5381,0
3906,0
1955,0
6381,0
4612,0
8820,0
6318,0
3823,1
2091,0
4276,0
6668,1
5222,1
3049,1
8029,1
1814,1
7321,0
6286,1
2849,0
3205,0
3964,0
4481,1
8719,0
8660,1
8199,0
7761,0
4609,0
1303,1
2505,0
265,0
6874,0
7626,0
2557,0
8640,0
310,0
8512,1
6734,1
5676,0
8359,1
6247,1
6988,0
5405,0
7123,0
2575,0
3158,1
5216,0
931,0
8283,1
901,1
4214,1
6208,1
1699,1
6690,0
5497,1
4757,1
5720,1
6053,1
8920,0
405,0
7149,1
2640,0
5433,1
3214,1
350,0
2796,0
434,0
7174,0
2231,0
822,0
3624,1
6860,1
104,0
5795,0
5204,1
7859,0
8464,1
460,1
436,1
5652,0
58,0
4083,1
5733,1
1882,0
546,1
1113,0
321,0
8099,0
1542,0
8149,1
8589,0
4043,0
7305,0
2699,0
7578,0
4355,1
998,0
2192,1
3909,0
5160,0
4107,1
2001,1
6059,1
5648,0
1754,0
3249,0
6973,0
202,0
37,0
4776,1
6662,1
3446,0
7752,1
2934,0
1574,0
3659,0
2404,0
3668,0
5461,0
2883,1
8056,0
3763,0
3389,1
5639,1
3967,1
924,0
1669,0
4005,0
5673,0
7485,1
477,0
276,1
5307,0
331,1
8152,1
7490,1
4777,0
1789,1
7743,0
5180,1
6745,0
5162,1
5303,1
2570,1
1139,1
1370,0
1961,0
4840,1
3432,1
1828,0
6035,1
877,1
5240,1
145,1
6329,0
5934,0
8897,0
8782,0
8870,0
194,0
3735,0
36,0
4782,1
8538,1
1372,0
3792,1
5440,1
6863,0
1335,0
8949,0
3545,1
6427,1
8901,0
5522,0
2463,1
270,0
2718,1
6401,0
3749,1
7601,0
6109,0
5414,0
7629,0
3644,1
1187,1
5551,1
4627,0
3874,1
1029,0
2961,1
5905,0
5178,1
2216,0
