,P,Q,A
4912,5.299282037090938,3,0
10162,7.540893543431434,2,0
9160,1.8039123224852491,2,0
9691,5.69170402422477,3,0
706,-1.6426045730507675,2,1
7098,1.9840296726697182,2,0
5114,10.174507862010882,3,0
1418,10.277439804416641,3,0
1866,6.3723431190972,3,0
4728,9.789634149859207,1,0
5523,2.9820999029760453,1,1
6836,10.338861889309541,0,0
5386,2.0044421673877784,3,1
9121,5.459654243055821,2,0
361,2.2154811499345226,2,1
7970,2.68808251788241,1,0
4861,-0.26872868521677074,1,0
1401,-2.293128096989624,2,1
4082,2.871720469190684,1,0
7623,20.402394934645475,1,0
7988,3.6202086914215372,2,0
9925,4.063680250334994,1,0
332,8.839500404847662,3,1
2086,-0.6954669956699326,1,1
3267,-0.1453360031199491,1,0
242,14.812646614198128,1,0
926,1.4682726429500208,3,1
1093,3.5092524406017835,2,0
2926,2.8460005088835656,2,0
3989,2.211657748865809,2,1
4765,7.152941998160587,2,1
7148,-2.7186964249694707,1,0
6662,25.160864021829703,2,0
2150,9.845074711241363,3,1
34,4.155618584064587,1,0
1160,3.8120051934471193,2,0
6289,0.6080447306945724,2,0
2420,6.991467978266034,1,0
5848,1.1434832511334678,3,1
8125,9.212203212366848,1,0
3701,3.175349627901816,0,0
3976,-4.86039779630922,3,1
19,-2.4870897440983324,2,1
1421,6.725926366631546,0,0
7739,1.563015251560631,0,0
5953,8.167327855715051,2,0
660,9.443007376816357,2,1
709,12.179484073295724,1,0
4737,3.9726551122158766,3,1
6340,11.561789669807657,3,0
9336,2.700970433704731,0,0
7518,1.3429373378278793,1,0
8688,4.098005176148563,2,0
9037,6.546961356102357,1,0
4550,-2.2896256892993563,1,1
5897,-2.215035574051403,3,1
5747,7.342692014026493,0,0
10466,9.703409329567158,3,0
9304,10.377251683749128,1,0
9200,12.358310702437976,2,0
8790,10.495306212151629,2,0
3775,2.4041239983389238,2,1
6349,5.473384921184374,2,0
4599,0.7190524175889274,2,0
5412,2.7739036662976866,3,1
9599,2.4301290735544767,1,0
9381,7.704375818461644,0,0
5132,3.816198357396458,3,1
9564,-0.18073258386363533,2,0
9683,2.4816149202486706,1,0
8606,2.8622817726786653,1,0
7237,7.883680804347419,2,0
810,3.5288903964434626,1,0
7306,-1.6252969307506813,2,0
3560,2.8262103988011384,1,0
5194,-2.398703335782792,3,1
7678,5.926992995684481,1,0
1343,0.5718349483450167,2,0
9047,14.654302839956573,3,0
7610,11.885567231432121,1,0
3797,9.84356149681602,1,0
4568,13.970918789542747,3,1
1604,42.155364710033965,2,0
10180,11.632211987652742,2,0
5693,1.3759520600394723,3,1
2838,9.516351674216196,1,0
918,4.012236415979233,2,0
4484,16.72857139758562,1,0
5889,19.96726302376912,1,0
10076,-1.8465400610871443,2,0
8658,12.651678710437091,1,0
5287,-2.4946169989828886,3,1
4757,5.4311824090091605,2,1
4978,-1.3815578390636478,2,1
6102,2.6486712930636824,1,0
7073,5.829233366877856,2,0
9559,7.301913396804844,0,0
7349,5.501759684694305,2,0
314,6.735418911761335,1,0
1265,4.723951257440818,2,0
8553,2.1116211287389692,0,0
8398,5.131669425178146,1,0
2554,1.6857085545548092,0,0
