,Y
4912,1
10162,1
9160,0
9691,0
706,0
7098,0
5114,1
1418,1
1866,1
4728,1
5523,0
6836,1
5386,0
9121,0
361,0
7970,0
4861,0
1401,0
4082,0
7623,1
7988,0
9925,1
332,0
2086,0
3267,0
242,1
926,0
1093,1
2926,0
3989,0
4765,0
7148,0
6662,1
2150,0
34,1
1160,0
6289,0
2420,1
5848,0
8125,1
3701,0
3976,0
19,0
1421,1
7739,0
5953,1
660,0
709,1
4737,0
6340,1
9336,0
7518,0
8688,0
9037,1
4550,0
5897,0
5747,1
10466,1
9304,1
9200,1
8790,1
3775,0
6349,0
4599,0
5412,0
9599,1
9381,1
5132,0
9564,0
9683,1
8606,1
7237,1
810,0
7306,0
3560,0
5194,0
7678,1
1343,0
9047,1
7610,1
3797,1
4568,1
1604,1
10180,1
5693,0
2838,1
918,0
4484,1
5889,1
10076,0
8658,1
5287,0
4757,0
4978,0
6102,0
7073,1
9559,1
7349,1
314,1
1265,0
8553,0
8398,0
2554,1
8705,1
2879,0
2512,0
5973,0
5847,1
8227,0
1323,0
9906,0
4071,0
10431,1
1359,1
1154,1
3898,0
3478,0
7943,0
8533,1
1283,0
4379,0
10151,1
10088,1
6827,1
2091,1
5032,1
9932,1
7870,1
2010,0
5172,1
2806,1
2166,1
2221,1
10242,0
2580,0
711,0
4604,0
8367,0
3221,1
8048,0
5087,0
3163,0
3220,0
10287,0
904,0
5856,1
6209,1
2076,1
1828,0
8192,1
5541,0
7710,1
257,0
7536,0
624,1
279,1
1370,0
403,1
8143,1
240,1
9826,1
1226,0
7301,0
4293,0
9520,1
5625,0
8206,1
6332,1
9163,0
2272,0
7936,1
2405,1
10326,1
3663,1
2656,1
3577,0
7006,0
593,0
1543,0
1986,1
7477,1
1053,0
4876,0
7625,1
4474,0
2423,0
7684,1
8809,1
2495,0
6946,1
4496,0
7004,0
3650,0
8163,0
9343,1
8458,1
7874,1
7024,0
8631,1
10225,0
317,0
628,0
952,0
9603,0
8380,1
2576,1
899,1
5956,0
7418,1
125,1
10238,0
783,1
1,0
8752,1
166,1
10160,1
4320,0
9791,1
10164,1
1112,1
9094,0
2110,0
6801,1
6559,1
5760,1
6870,0
6185,0
758,0
9154,1
6580,0
8729,0
7462,0
2314,1
8119,0
5587,0
9206,1
4858,1
871,1
2987,0
996,0
1122,0
3589,1
1803,0
4579,0
8282,1
7144,0
1313,1
5047,0
9610,0
2679,0
2684,1
4134,1
10120,1
7813,0
5465,1
7687,1
3488,1
5224,0
4906,0
9835,0
2074,1
1001,1
9476,1
9461,0
5481,0
962,1
4299,1
714,0
6341,0
10449,0
1436,1
9811,1
1272,0
1082,0
7651,0
10485,0
5109,0
3814,0
1182,1
467,1
901,1
8132,1
9717,0
3543,0
4684,0
7919,1
5653,1
7366,1
3753,0
5882,0
620,0
868,1
9446,0
2660,1
7756,1
5212,1
2410,0
1909,1
10311,1
9145,1
8404,1
9104,1
1836,0
3331,0
6982,1
6164,1
2273,1
6949,1
7728,1
8228,1
8096,1
845,1
108,1
9048,1
4697,0
4784,0
6001,0
9018,1
1057,1
9350,1
3629,0
2867,0
8307,1
3736,0
2467,1
6970,1
7303,0
2971,1
9494,1
8234,1
6426,0
1689,0
8784,1
9502,1
6353,1
9366,1
1072,0
9871,0
3089,0
10126,1
2573,0
9994,0
3012,0
1023,1
8062,1
5473,0
2254,0
6013,1
695,0
4198,0
7837,0
6095,1
3626,1
4523,0
5800,0
1715,1
6468,1
5254,0
4822,1
349,1
2215,0
1587,0
4629,0
337,1
2099,0
7594,0
5384,1
7371,0
6269,0
8844,0
6716,0
4441,1
39,0
2755,1
6552,1
4150,1
5376,1
8905,0
7050,1
58,0
2625,0
2216,0
5696,0
5188,0
4089,0
