,P,Q
3547,1.289841051866496,2
3221,3.3572285098487535,1
831,0.472932775746915,2
9315,2.1547497408535077,1
5420,7.308574067938902,1
8436,11.556530630306872,2
3447,4.482919035724877,3
7748,9.646275208657107,1
2266,2.201277547487607,1
3220,1.603041218578694,1
4546,0.018996377920476704,2
5583,-3.2737437502969104,3
6626,14.690254436034712,2
2677,1.148201012250305,2
10619,3.2495667573571665,2
2216,2.1676308590294204,0
4168,0.12233900613396398,2
5273,2.599654172221162,2
227,7.706509179416726,2
1429,-0.14688228672247106,1
7355,8.186418586177844,2
9560,14.488567667520542,2
8844,11.870524600969508,2
4579,3.433755572319537,2
9769,8.461271053500838,3
1194,-2.1033613709376793,1
6183,0.18942532633642273,1
2968,6.498134554889777,3
3150,-2.2998014041747603,1
10950,22.179769710718038,2
4558,1.5874551353791526,3
5760,10.097367876783194,0
7146,18.56119208912071,2
6000,-3.013908489492196,2
1943,4.175915961679193,2
5624,-0.16252891503606293,2
722,5.868344671110342,3
8213,2.098581879728874,2
58,4.292333950670187,1
9882,0.008092169494709367,2
4514,0.5423354308732287,1
6360,0.8895701136761955,3
6840,9.126326117793479,2
2184,4.279820483315327,1
8515,4.962656334867411,2
8985,2.9249485417825682,3
5102,1.7982312740200337,0
2043,12.592657205519885,1
3276,12.248819561782396,2
9272,5.298524335997284,2
4744,0.8258277029145804,2
2759,5.106243879188231,0
9002,6.009979747652717,2
10894,-1.7376271188005565,2
7383,13.321298420815742,1
8922,5.139622581720285,0
1526,2.7739404958320266,3
1494,7.758731459943164,2
4484,16.72857139758562,1
5011,7.5585598063619965,2
6511,7.492247728193493,1
6441,-0.49332083584007425,2
3771,15.812509103841077,2
8361,11.885567231432121,1
2171,4.922191339752271,1
5586,6.76157302986672,0
4199,13.330774938744751,2
5715,2.176650243115368,2
5953,8.167327855715051,2
5742,6.620915446331484,1
3075,6.505687254869211,1
834,0.880746322490916,2
4138,1.9208596883887687,0
8285,7.78447484891557,2
8162,6.002934874229876,0
6167,3.386272300746744,3
6284,8.974926851443902,1
8402,3.564974735214763,1
9117,17.223797592527056,1
6886,-0.8129267424169044,3
7066,4.468898708975194,0
349,18.752811067208494,2
1619,3.1773628906918825,2
917,7.061588855535947,1
8790,4.349400309739647,0
1133,9.842507893383685,3
3961,9.863429068206475,3
2684,8.238842315983334,2
1010,1.0136238128354857,2
8652,-0.07086112622491436,0
9754,11.216222642908413,0
5433,8.268854571151532,1
2029,4.975349448430018,1
3799,4.1891408548012565,2
8353,7.817037026818438,2
951,-1.3771755410767685,2
1616,4.644202669329434,2
3894,3.2354759436295764,3
9403,6.170675413048438,1
6064,3.591340800350074,3
8116,-0.13266500685400096,1
10947,3.716538314847548,2
5767,3.649394836284925,1
2904,1.1334465372695341,3
7380,1.693279039467928,2
862,9.405918542816046,3
5835,1.2366331718699624,2
323,2.558455564377348,3
3814,4.63685955489417,2
6532,1.3846711994669905,1
10265,5.520547626004772,2
4453,0.20522906408571423,3
5254,1.073206121538216,1
5747,7.342692014026493,0
277,9.959914662831649,2
7642,13.085872651602696,0
5810,-1.262957461529171,3
3821,11.355475494995861,3
108,9.650428523298789,1
7898,3.955027147398281,2
10553,3.9788346476821754,2
6773,5.154809550331603,2
4895,3.0485256412429442,2
9559,12.358933532850955,0
6475,1.9898196026531951,1
10536,7.619611027861779,2
3090,9.539489001453816,1
10440,6.198756122857432,1
3100,5.076719349664435,2
7516,6.334277459306148,2
9716,0.13362713245815594,2
9123,-2.4926968871215283,2
996,1.6936339929410238,1
6804,17.08620032544769,1
10511,3.09530658262365,1
6086,2.950776633209335,2
5010,2.7538292828640607,3
1539,0.909990800784109,3
10676,4.063680250334994,1
10496,6.506953347348436,2
6435,2.545941892684981,3
9069,0.38651489346468715,2
1428,-3.4534441892427514,3
8648,5.1128115061698525,1
5283,10.279030283209009,1
6786,14.31212599248121,2
9183,4.405010479012382,2
4513,6.815047853903545,3
39,7.328925532656104,3
4703,-0.2447847631552562,2
4684,1.6853710365109633,1
4942,3.6166226580493617,3
1034,2.327825323933557,1
