,P,Q
2112,-1.0680626695522095,1
6464,1.0424168215626297,3
11789,10.621570376688167,1
3107,3.1806095212700307,1
11806,-1.9416812323028394,1
14129,4.541079041633007,1
12694,4.585952872308905,3
8135,6.379441187255054,0
10015,0.8395020102671931,3
13305,8.196007312250188,1
9280,8.155268680093414,1
11053,0.6851892916091118,2
5209,2.1848211512365987,2
1952,0.032245013072763395,1
5244,4.199105505386072,3
11403,2.4783927389289593,3
11975,3.5750383131269103,2
10613,7.399734483737083,0
13165,5.2591142548688445,3
142,6.503715554537799,1
6610,2.3139260004480544,2
243,9.960190731505167,2
3276,12.248819561782396,2
13739,-0.08413182478961656,2
2228,-1.9626342619683546,3
10017,-1.087295538335145,2
3785,2.3664060850492894,3
2281,-1.1076045404316128,3
8721,6.240106370093264,1
6980,12.744925920864498,1
2501,1.7040197526257885,1
13324,0.3709747447718158,3
965,5.562769031716183,1
7813,9.74478450257297,0
5328,2.3395376027599317,1
3814,4.63685955489417,2
11788,8.964128532771799,3
6384,6.396808061997389,3
12682,14.552569520226038,3
10452,6.009979747652717,2
4582,3.5601222254761717,3
4441,6.156002649781571,1
14098,1.049999421243674,1
11222,3.1980524087769933,3
2767,1.088476510528532,0
3182,0.11374477479323764,2
12340,-3.473351318890643,2
11753,3.409730524435534,3
4131,0.5699921480393726,2
1768,4.124085807773453,2
1813,9.454955655717582,3
9982,0.47903936342093023,3
2587,1.1482760419903415,0
12305,9.940106604999519,1
3203,1.1086818073583082,2
2008,-0.29739243995398956,2
1149,2.8241787252028767,1
11611,14.488567667520542,2
10036,1.9733292979877923,2
706,-1.6426045730507675,2
4389,16.4576881422566,2
11721,6.907855185388372,1
9485,5.999194061728259,2
8785,8.056515163426422,2
6550,1.5332246219554038,3
7223,5.30476296961236,3
1046,2.752090904606791,1
5084,7.302587479497557,1
11923,4.652455091043866,2
2446,7.1864518758124225,2
12132,3.3058453371072054,3
11217,4.737354062184618,1
3872,12.688974987266398,2
5870,-4.0593395194599475,1
13743,9.145389272390677,1
4805,3.292244434840101,1
3491,12.6993233383857,1
422,6.9322293294838575,3
13605,1.3254271468136334,2
9042,5.862004885765643,1
4846,6.463946840256417,1
11556,8.421192172692713,3
10441,5.393684881174702,3
12419,5.243380579945159,2
7120,-1.6621095654822517,3
13844,2.9244753603251286,1
11425,7.9401507923429495,2
7887,3.0774449212781407,2
4648,10.208720896721765,2
10183,5.312479492051522,1
7389,2.0390579082813245,3
1497,6.13408419518688,2
1535,1.8387998220239554,3
4921,-0.9753227034672896,2
4548,12.19135890573157,1
4887,1.0053321988294155,2
2449,0.9940019055924185,0
5515,5.2902326862111115,1
7237,10.488824473755704,2
9726,3.097876865687002,1
9266,1.4042582859156791,3
13495,10.135086226360423,1
6570,6.22913648845939,1
12690,1.6101993527294096,2
9948,3.5545427293827916,2
147,5.542420297312722,1
9852,9.113276464470552,0
3386,10.640016071773895,2
3755,6.708570049270634,3
9434,1.935460255452999,3
5242,12.236755924039901,2
12402,8.840081317778724,2
4528,0.130597719440674,2
103,3.106448073968128,1
3165,10.016174955982923,2
12009,9.343579432908335,3
5124,1.7384747083908585,3
8685,19.591594036223857,0
11918,-1.104610105565114,2
1794,2.0600517164826755,1
5012,-1.586920299906157,0
2317,3.7612689563842214,1
12072,-1.8303353188944262,1
13101,8.315206829701866,1
13140,-1.707747397532648,2
7400,6.825930716740457,0
5887,7.564748761010314,2
12603,3.960843766942482,2
11478,5.818271118002138,2
1668,1.1120208922266999,2
13416,5.40795755892348,1
11845,7.096039618420274,3
4600,1.2087766165052398,3
14240,7.820243703595111,1
7962,4.196133635721699,1
14118,4.773521645504266,2
5300,6.6848375972163385,2
937,4.46887098985299,1
13186,5.74015029170417,3
12700,7.4549875493149935,0
12071,-1.4856161530307102,2
12543,9.077652998202675,2
7968,9.646275208657107,1
674,-1.7167767182098976,1
2208,16.699770862678353,1
4840,4.189229972535681,2
8987,2.6276116162201566,3
4493,4.624078847604508,3
13772,5.930938908388088,3
9846,16.23077883098837,2
1488,-2.2932081189528306,3
7024,2.136518990994402,3
12156,1.710550676199065,3
1620,4.572850805251355,3
1520,4.739817818097086,3
6270,-2.0269005851925095,1
12671,5.642860695311354,3
2470,10.493729140199527,3
3266,4.9366368127851,1
4550,-2.2896256892993563,1
3416,3.8501357789355417,1
10894,8.936216226796148,2
7280,6.9518179110400915,1
1890,3.471872764954229,2
2172,6.793048620132613,2
12660,5.737993095472988,1
8525,6.81952058944617,1
4179,2.381103828215185,2
647,4.737068875233751,3
14048,13.271785584213788,3
11351,6.791033089185914,0
13072,5.963241970678137,1
1930,5.3789503656761415,1
1327,5.896864999359458,2
11033,3.572862149466148,3
11835,9.374438991271996,2
2923,-0.4385506454899691,2
4209,5.724928516057016,2
11342,4.284829418259769,3
4328,2.9163897453958354,1
1942,-0.7413231402976872,2
5503,-3.701740782550185,1
8752,6.705463331673254,3
11441,2.068640503068395,2
13116,-1.1295042776266702,2
4691,4.036670959188334,2
4641,-0.6844359645368093,2
6795,2.9370123780757624,3
14148,8.236376795691864,1
2309,3.553809518602671,1
14175,4.854524952604934,0
2229,-2.3145437285390935,2
7505,17.541950404632328,2
1324,10.349950720708584,0
1752,2.9496969173920493,3
4342,3.667859698363959,2
1721,6.725641119873604,1
6917,-0.4354209282998278,3
5206,2.1784353945120998,2
13086,4.335570661154538,1
10374,1.1383747170062144,2
12914,-1.8271305615957834,2
3000,3.47854175684055,2
1309,1.4783279145039774,3
6426,6.575319774325509,1
11618,8.440334889554082,3
11919,3.8535470637148177,1
12428,4.412177000212807,2
2974,7.811116991334455,3
13239,7.041115843477787,3
6811,11.703595411674584,2
13082,16.850037817895817,2
224,-0.4749671937772044,2
3174,3.9366168860404316,1
13515,11.818243689226989,1
3856,11.520620198510032,1
6652,11.046620298654938,1
3100,5.076719349664435,2
4774,4.9868831048996185,2
10190,4.904198456725917,2
13497,0.42917428526112567,2
8064,3.8835614765675057,2
5656,-1.9403768061440734,3
12,10.228306157684997,3
8349,14.08762215011372,2
4054,9.134235176095231,1
5742,6.620915446331484,1
12515,2.7321398201654294,3
8501,2.1415413131165004,3
3336,4.842796403132207,1
8572,-2.3536096185512365,3
11969,-1.314341422679632,2
2816,6.033467311607835,3
6672,0.3664912962730741,2
2973,7.720436964422136,1
13788,6.479119924972332,2
3681,1.361568617847334,1
2292,3.0382729325403752,2
8159,1.0277016222479656,1
1045,1.3088127439680552,2
2534,3.4849151754719947,2
11980,6.124750058854612,3
6307,3.6072658028081683,1
9802,0.9247349483939808,3
6139,12.775799488644884,2
11728,3.5329407005080595,3
12015,-2.1536838263976716,2
3901,4.818179475255755,2
1252,-1.4487472483455777,1
12113,0.5839292571845611,1
13420,0.11960352997295653,1
10476,9.13058919160576,1
13807,6.0378379933176225,0
12602,10.377251683749128,1
5088,3.546905841802503,3
8036,3.8349483727451896,2
8291,9.52255669122508,2
207,2.0266877446768214,2
9981,13.490264198082691,1
10722,-0.18850154121904428,3
4214,4.937469728347503,2
6727,-4.026017397388827,2
5963,9.354048656474486,0
11653,5.235105450404204,2
8880,4.104622714191731,2
12378,6.400248258285837,1
6800,2.8415116780143803,1
11440,1.994695599341651,2
311,1.424558438284904,1
6164,3.7538453893195283,1
13369,3.6348557773391685,1
4164,12.750927250101226,2
6786,14.31212599248121,2
2141,7.769926960337877,1
5097,0.5396988337470625,2
5969,2.403645383115676,2
1775,3.886404849088295,2
13474,10.222007202016389,1
925,9.861493513105756,2
5924,-0.2519494606052479,2
10957,-1.935345828628698,3
5225,2.9116231971414095,2
3240,-0.18699834034170693,2
13318,5.6264691622508884,1
8918,5.6679055781774,1
695,0.4951962682295524,1
13770,5.799638988550183,2
4465,-0.5988247354771007,1
5044,11.906208881992434,1
3625,2.272721354835939,2
9621,-0.7708813175991597,3
6816,-0.04647641177656625,2
1612,2.109380343571583,1
182,5.805242158615279,2
12951,5.568352144194016,3
7572,7.13515518557975,1
12972,8.135105830672188,3
4872,-0.16476590750166514,3
8584,2.977072674302308,1
4288,3.721128006563441,2
11762,14.928244408317864,1
1280,4.64269119073659,3
1733,4.631722761674009,3
3621,-0.2980486653436851,1
1491,7.205558345486761,1
5394,6.311028815699014,3
6825,1.710391113324333,2
1719,14.2258471063885,2
14201,7.310746503113911,1
4169,-2.903274776252221,3
13454,7.810712520799166,1
994,3.59619586492144,1
2915,1.0482622744073065,2
11617,5.9057133838597275,2
3787,-1.357136950623068,2
1237,9.787837763313684,2
2699,6.329163743533064,1
5453,-2.4378167253344465,2
5810,-1.262957461529171,3
12973,1.6233945593895762,3
6491,3.935017232761925,2
1821,2.523208018423638,3
12719,1.9365646745816603,3
10850,6.971456485043067,2
3783,2.814342324298488,3
10224,3.883041471572265,1
7146,18.56119208912071,2
11344,8.747016625085218,2
12521,4.9059409674327,3
